11-19 02:07:39.241 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 36, Focusval 769131648.000000, LensPosition 327, H1 1528734720.000000, H2 0.000000, V 9528600.000000, HV 769131648.000000, H1_norm 1839715.125000, H2_norm 0.000000, V_norm 7714.453613, HV_norm 923714.812500
11-19 02:07:39.408 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 37, Focusval 764479232.000000, LensPosition 325, H1 1519420544.000000, H2 0.000000, V 9537890.000000, HV 764479232.000000, H1_norm 1827947.875000, H2_norm 0.000000, V_norm 7771.436035, HV_norm 917859.625000
11-19 02:07:39.573 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 38, Focusval 769720512.000000, LensPosition 323, H1 1529919232.000000, H2 0.000000, V 9521790.000000, HV 769720512.000000, H1_norm 1843479.250000, H2_norm 0.000000, V_norm 7718.372559, HV_norm 925598.812500
11-19 02:07:39.742 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 39, Focusval 763933312.000000, LensPosition 321, H1 1518324480.000000, H2 0.000000, V 9542130.000000, HV 763933312.000000, H1_norm 1829092.500000, H2_norm 0.000000, V_norm 7702.407715, HV_norm 918397.437500
11-19 02:07:39.913 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 40, Focusval 768992128.000000, LensPosition 319, H1 1528540800.000000, H2 0.000000, V 9443440.000000, HV 768992128.000000, H1_norm 1841238.250000, H2_norm 0.000000, V_norm 7641.699707, HV_norm 924440.000000
11-19 02:07:40.074 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 41, Focusval 766455232.000000, LensPosition 317, H1 1523368704.000000, H2 0.000000, V 9541810.000000, HV 766455232.000000, H1_norm 1838380.250000, H2_norm 0.000000, V_norm 7766.192383, HV_norm 923073.250000
11-19 02:07:40.242 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 42, Focusval 771799936.000000, LensPosition 315, H1 1534204672.000000, H2 0.000000, V 9395170.000000, HV 771799936.000000, H1_norm 1848562.375000, H2_norm 0.000000, V_norm 7623.424316, HV_norm 928092.875000
11-19 02:07:40.410 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 43, Focusval 770388224.000000, LensPosition 313, H1 1532901120.000000, H2 0.000000, V 7875316.500000, HV 770388224.000000, H1_norm 1848753.000000, H2_norm 0.000000, V_norm 6419.503418, HV_norm 927586.250000
11-19 02:07:40.575 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 44, Focusval 763444992.000000, LensPosition 311, H1 1519065856.000000, H2 0.000000, V 7824192.000000, HV 763444992.000000, H1_norm 1832902.125000, H2_norm 0.000000, V_norm 6382.290527, HV_norm 919642.187500
11-19 02:07:40.742 I/CamX    (29295): [ INFO][STATS_AF ] af_fullsweep.cpp:200: af_fullsweep_srch_far_to_near CAF_SCAN_Fullsweep_far_to_near Index 45, Focusval 773481088.000000, LensPosition 309, H1 1540282496.000000, H2 0.000000, V 6679728.500000, HV 773481088.000000, H1_norm 1862466.625000, H2_norm 0.000000, V_norm 5509.899902, HV_norm 933988.250000
